t,phase,n,n_normal,p_used_gf,p_lplc2_only,mean_z_gf,mean_z_lplc2,mean_leak_share,mean_fitness
43,follow,400,0,0.8175,0.16,-0.09873597440615481,0.004350066506035054,0.3692622629543589,0.9958316681190797
44,follow,400,0,0.8025,0.175,-0.1055769736542985,-0.0010166216944963774,0.36780219974597783,0.9956331020025517
45,follow,400,0,0.7775,0.2,-0.11116514552551994,-0.0015048764576884354,0.3673552817012108,0.9953277862228611
46,follow,400,0,0.7875,0.185,-0.11647730948923102,-0.006953606189533798,0.3654288142064476,0.9950193030368557
47,follow,400,0,0.785,0.1825,-0.10650091608056307,-0.011228522461943963,0.36320847117100313,0.9947981117711998
48,follow,400,0,0.77,0.2125,-0.10891795315124003,-0.00911084685273629,0.3635502270801356,0.9944102139851012
49,follow,400,0,0.805,0.17,-0.10254423170050864,-0.0011335736732378443,0.36407511763899225,0.9945189917394808
50,follow,400,0,0.7725,0.205,-0.10531237150384706,0.0005250312780306979,0.36544980749111,0.9942741958152352
51,follow,400,0,0.755,0.195,-0.1135145837457652,0.007912904046459413,0.3658858683411389,0.9939057812221134
52,follow,400,0,0.7825,0.1675,-0.10558095273748985,0.0041825448953357845,0.3647972845460286,0.9939534164634591
53,follow,400,0,0.7775,0.1925,-0.10858744297017503,-0.0026433413978623377,0.3610298562994844,0.9938132020014101
54,follow,400,0,0.7825,0.175,-0.1006190707802418,-0.005518729166483524,0.3580430015624731,0.9934630806358942
55,follow,400,0,0.7775,0.1775,-0.09198945736100601,-0.016173061060705006,0.3554045008260077,0.9935859978901704
56,follow,400,0,0.765,0.19,-0.09316129639785473,-0.011572725416393283,0.35705734002989414,0.9933721993181962
57,follow,400,0,0.78,0.1525,-0.10505171160403187,-0.008111313938491517,0.3568401068523103,0.9930313135862293
58,follow,400,0,0.75,0.1775,-0.10805990614276667,-0.004570176436645105,0.35680052060082323,0.9928534066149133
59,follow,400,0,0.715,0.2,-0.11876900599562452,-0.009549956885162194,0.35387704512979296,0.9923982820194204
60,follow,400,0,0.71,0.1975,-0.12173596325920989,-0.007476728028086082,0.3545746936593692,0.9921615417287464
61,follow,400,0,0.6975,0.2275,-0.12975096231532174,-0.011148509911570905,0.3551740009991725,0.9916495697411516
62,follow,400,0,0.6925,0.2275,-0.12242971621393217,-0.014790688063975752,0.35602395868544096,0.9917991386649518
63,follow,400,0,0.715,0.1975,-0.12375884908092448,-0.011240839131623574,0.35692467766864555,0.9914889283717868
64,follow,400,0,0.6925,0.1925,-0.1284716309447911,-0.013265587555977551,0.35584119833854716,0.9910179320860186
65,follow,400,0,0.68,0.195,-0.11795740807898315,-0.016480658653562835,0.3537006700721587,0.9907798013834593
66,follow,400,0,0.67,0.2175,-0.12851315049749804,-0.014715806834491143,0.35579508479611355,0.9902493166760883
67,follow,400,0,0.725,0.175,-0.11975796011420581,-0.01860648237451637,0.3582687855675528,0.9907502588408466
68,follow,400,0,0.7,0.2,-0.12366379095063194,-0.021014151928461816,0.35882307881976283,0.9906158837679723
69,follow,400,0,0.7125,0.195,-0.12429616915891678,-0.0251452743195681,0.3582916115101272,0.990729799137899
70,follow,400,0,0.675,0.1875,-0.1376812529961013,-0.02089154548140334,0.3576520242160044,0.990079146598097
71,follow,400,0,0.675,0.1825,-0.13787680410794909,-0.02632495099652604,0.3565944693711755,0.9893498841327805
72,follow,400,0,0.6675,0.1975,-0.1426959297476368,-0.01246386062444747,0.3601708123219432,0.9897358272790714
73,follow,400,0,0.6675,0.2175,-0.15126328930475058,-0.01244837457004218,0.3605440419985771,0.9894499589534581
74,follow,400,0,0.645,0.2375,-0.16511889308959687,-0.008021390344965962,0.36229205865034514,0.9889586063079137
75,follow,400,0,0.6825,0.1925,-0.1603053099150074,-0.0023377481371791363,0.36400188144574713,0.9891077351687931
76,follow,400,0,0.645,0.2475,-0.15908091951087236,0.005820069480817972,0.36593374954827323,0.9890381390204754
77,follow,400,0,0.6825,0.19,-0.1349098234593535,-0.004549030854379115,0.3611122373582565,0.9893079400495489
78,follow,400,0,0.6725,0.205,-0.14322497698103887,0.00785392616052049,0.36356164541705,0.988731871940856
79,follow,400,0,0.705,0.1875,-0.1442530451880938,0.018364662517673387,0.3675618960688925,0.9890215330371567
80,follow,400,0,0.7,0.17,-0.13515040324458114,0.006507343065495727,0.3633720804543159,0.9894016624601859
81,follow,400,0,0.6725,0.24,-0.14905597114191213,0.011992860208842852,0.3652865895807807,0.9897170292649656
