t,phase,n,n_normal,p_used_gf,p_lplc2_only,mean_z_gf,mean_z_lplc2,mean_leak_share,mean_fitness
48,follow,400,0,0.5925,0.3925,-0.18995599379224934,-0.009344142588216376,0.36792683037227425,0.9934421647746965
49,follow,400,0,0.645,0.325,-0.18746447789291223,-0.010246020305885301,0.36991567228515976,0.9936621565078795
50,follow,400,0,0.6425,0.3175,-0.1811215776300716,-0.012548371011436871,0.3708101574798375,0.9933341654215578
51,follow,400,0,0.655,0.3175,-0.19002378281316845,-0.009029065654157755,0.37131532468463413,0.993034692553495
52,follow,400,0,0.6,0.3775,-0.19413212180023875,-0.008969125494267944,0.3709516060713189,0.9927479627930492
53,follow,400,0,0.66,0.3,-0.18219079915633757,-0.006535584076951718,0.3717907245515935,0.992911851026378
54,follow,400,0,0.65,0.3075,-0.1879712173274948,0.003006852045916577,0.3753165925404176,0.9930518210066254
55,follow,400,0,0.6675,0.2875,-0.1879233848013312,0.005951931016621054,0.37677735889901937,0.9926966705299617
56,follow,400,0,0.65,0.305,-0.17957201761545238,-0.00389716769169461,0.37350029657842077,0.9928920964875081
57,follow,400,0,0.6425,0.305,-0.18377491132639162,-0.003910778747826082,0.37316815828169664,0.9927465831155733
58,follow,400,0,0.63,0.3175,-0.17884489574685214,0.001772922531650026,0.3731933923775037,0.9925604950243584
59,follow,400,0,0.6375,0.325,-0.1831077499626774,6.271597032907361e-05,0.3736521372441692,0.9924082022282752
60,follow,400,0,0.6525,0.2875,-0.17539676244014507,0.0016666492585155324,0.37584266421378115,0.9923431335553268
61,follow,400,0,0.685,0.2575,-0.17692564705054153,0.0070590437637467925,0.37656151816271843,0.9926190793205879
62,follow,400,0,0.6225,0.3275,-0.19164000974232556,0.0024356059598902844,0.3740590421134206,0.9923000031195741
63,follow,400,0,0.615,0.335,-0.1939743191967661,0.0015468893737807022,0.3725505661521482,0.9921999572004168
64,follow,400,0,0.605,0.3225,-0.19261062953507882,0.0033628425906153405,0.3733888127230851,0.9918975097198504
65,follow,400,0,0.625,0.3025,-0.20182949448982052,0.0024799066307885074,0.3720077380126597,0.9912644066253194
66,follow,400,0,0.58,0.3575,-0.20723408945050312,0.007332874242145338,0.3709763452496206,0.9909935701773963
67,follow,400,0,0.585,0.335,-0.22051180539614948,-0.0038694920811915435,0.36854846255986845,0.9902389993312614
68,follow,400,0,0.535,0.38,-0.22826320575826994,-0.004653505309161204,0.3689134244391775,0.9905135472107282
69,follow,400,0,0.495,0.4125,-0.24301128898337904,-0.0032302089774132025,0.3704067722233393,0.9901086802632687
70,follow,400,0,0.48,0.42,-0.2318805674654657,-0.010375982792897904,0.36657182982224584,0.9900400014844319
71,follow,400,0,0.4725,0.44,-0.24952423715421246,-0.009455419470245426,0.36531919945043745,0.9898551109655803
72,follow,400,0,0.5375,0.3725,-0.24107450146215081,0.0038732713200195514,0.3694866229888268,0.9894521033012315
73,follow,400,0,0.555,0.3425,-0.2319504757523765,-0.0038448254842439076,0.3689773585647855,0.9893261894109715
74,follow,400,0,0.515,0.4,-0.2389102286586222,-0.0011169048736654175,0.3699887686289468,0.989152242659307
75,follow,400,0,0.495,0.425,-0.2512243632593606,0.0004390572575642121,0.3720590089518418,0.9890621310118162
76,follow,400,0,0.5175,0.4125,-0.24716893038570326,-0.0023670201805962403,0.3724126010202632,0.9886941911102067
77,follow,400,0,0.525,0.4075,-0.23700465448797076,-0.0008902775550593705,0.3748324107385486,0.9886475611560225
78,follow,400,0,0.54,0.3625,-0.2254401779292535,0.0026798004865892567,0.37404402452760765,0.9890286637549434
79,follow,400,0,0.57,0.34,-0.21848416859175354,0.007978411831266715,0.37920385468104423,0.988595302863257
80,follow,400,0,0.5325,0.365,-0.2435015946015688,0.010626000840403636,0.3783225568128335,0.9875570697809914
81,follow,400,0,0.52,0.4075,-0.24527967261563194,0.018350545232194752,0.3791595012615104,0.9874506988992696
